"NÚMERO","SECCIÓN","CAS.","DIFERENCIA ENTRE 1° Y  2° LUGAR","PAN","PRI","PRD","PVEM","PT","MC","MORENA","RSPD","PAN-PRI-PRD","PAN
PRI","PAN
PRD","PRI
PRD","PVEM-PT-RSPD-MOR","PVEM
PT
MOR","PVEM
PT
RSPD","PVEM
RSPD
MOR","PVEM
PT","PVEM
MOR","PVEM
RSPD","PT
RSPD
MOR","PT
MOR","PT
RSPD","RSPD
MOR","VA POR DURANGO","JUNTOS HACEMOS HISTORIA","CAND.
NO REG.","VOTOS
NULOS","...32","LISTA NOMINAL","...34","...35","...36","...37","municipality","...25","...27","...28","...29","...30","...31","...33","CAND. 
INDEP.","PVEM
RSPD
MOR...21","PVEM
RSPD
MOR...25","...38","PARTIDO ACCIÓN NACIONAL","PARTIDO REVOLUCIONARIO INSTITUCIONAL","PARTIDO VERDE ECOLOGISTA DE MÉXICO","PARTIDO DEL TRABAJO","CANDIDATURA NO REGISTRADA","VOTOS NULOS","...12","...14","...26","PVEM
PT
RSP","PVEM
RSP
MOR","PVEM
RSPD
MOR...20","PVEM
RSPD
MOR...24"
"48",33,"E1",9,11,4,0,19,3,1,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,0,1,49,77,0.636363636363636,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",33,"2",55,34,18,0,85,3,3,21,2,6,4,0,0,0,1,1,0,0,2,2,0,0,0,0,62,117,0,4,186,300,0.62,NA,117,62," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",34,"B1",32,45,19,0,26,1,1,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,36,0,3,108,215,0.502325581395349,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",34,"1",32,45,19,0,26,1,1,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,36,0,3,108,215,0.502325581395349,NA,68,36," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",35,"B1",4,17,48,0,45,2,2,18,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,71,67,0,2,142,260,0.546153846153846,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",35,"1",4,17,48,0,45,2,2,18,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,71,67,0,2,142,260,0.546153846153846,NA,71,67," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",37,"B1",88,51,31,4,118,8,3,44,3,2,4,0,0,0,1,1,1,2,2,0,0,0,0,0,92,180,0,9,284,513,0.553606237816764,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",37,"C1",117,54,18,2,118,10,10,53,4,2,2,0,0,2,3,0,0,1,2,1,0,1,0,0,78,195,0,5,288,512,0.5625,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",37,"2",205,105,49,6,236,18,13,97,7,4,6,0,0,2,4,1,1,3,4,1,0,1,0,0,170,375,0,14,572,1025,0.558048780487805,NA,375,170," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",38,"B1",58,96,35,13,139,19,4,31,6,4,11,0,0,0,4,2,1,3,9,1,1,0,0,1,159,217,0,6,386,653,0.591117917304747,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",38,"1",58,96,35,13,139,19,4,31,6,4,11,0,0,0,4,2,1,3,9,1,1,0,0,1,159,217,0,6,386,653,0.591117917304747,NA,217,159," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",39,"B1",1,49,18,0,46,2,2,21,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,72,71,0,3,148,306,0.483660130718954,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",39,"1",1,49,18,0,46,2,2,21,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,72,71,0,3,148,306,0.483660130718954,NA,72,71," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",40,"B1",29,100,37,1,116,6,1,34,1,3,3,0,2,3,2,0,1,2,3,3,0,1,1,2,146,175,0,10,332,535,0.620560747663551,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",40,"1",29,100,37,1,116,6,1,34,1,3,3,0,2,3,2,0,1,2,3,3,0,1,1,2,146,175,0,10,332,535,0.620560747663551,NA,175,146," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",42,"B1",114,56,22,NA,0,4,NA,145,14,NA,NA,NA,NA,0,0,0,0,0,0,0,1,2,0,4,NA,170,0,1,NA,396,NA,NA,NA,NA," CANELAS",249,0.628787878787879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",42,"C1",104,64,36,NA,2,6,NA,144,13,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,NA,168,0,9,NA,395,NA,NA,NA,NA," CANELAS",277,0.70126582278481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",42,"2",218,120,58,NA,2,10,NA,289,27,NA,NA,NA,NA,0,0,0,0,0,0,0,1,2,0,7,NA,338,0,10,NA,791,NA,NA,NA,NA," CANELAS",526,0.664981036662453,NA,338,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",43,"B1",43,24,5,NA,1,0,NA,58,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,NA,67,0,1,NA,137,NA,NA,NA,NA," CANELAS",97,0.708029197080292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",43,"1",43,24,5,NA,1,0,NA,58,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,NA,67,0,1,NA,137,NA,NA,NA,NA," CANELAS",97,0.708029197080292,NA,67,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",44,"B1",128,17,6,NA,1,1,NA,127,12,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,2,NA,145,0,2,NA,218,NA,NA,NA,NA," CANELAS",170,0.779816513761468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",44,"1",128,17,6,NA,1,1,NA,127,12,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,2,NA,145,0,2,NA,218,NA,NA,NA,NA," CANELAS",170,0.779816513761468,NA,145,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",47,"B1",46,40,28,NA,0,3,NA,71,7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,3,NA,86,0,8,NA,219,NA,NA,NA,NA," CANELAS",162,0.73972602739726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",47,"1",46,40,28,NA,0,3,NA,71,7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,3,NA,86,0,8,NA,219,NA,NA,NA,NA," CANELAS",162,0.73972602739726,NA,86,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",48,"B1",0,91,6,NA,0,1,NA,71,13,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,4,NA,91,0,5,NA,263,NA,NA,NA,NA," CANELAS",193,0.733840304182509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",48,"1",0,91,6,NA,0,1,NA,71,13,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,4,NA,91,0,5,NA,263,NA,NA,NA,NA," CANELAS",193,0.733840304182509,NA,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",50,"B1",43,11,3,NA,0,1,NA,38,15,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,54,0,0,NA,138,NA,NA,NA,NA," CANELAS",68,0.492753623188406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",50,"1",43,11,3,NA,0,1,NA,38,15,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,54,0,0,NA,138,NA,NA,NA,NA," CANELAS",68,0.492753623188406,NA,54,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",51,"B1",18,12,10,NA,1,1,NA,25,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,30,0,0,NA,125,NA,NA,NA,NA," CANELAS",52,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",51,"1",18,12,10,NA,1,1,NA,25,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,30,0,0,NA,125,NA,NA,NA,NA," CANELAS",52,0.416,NA,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",52,"B1",46,13,2,NA,1,2,NA,48,4,NA,NA,NA,NA,2,0,0,0,0,1,0,0,0,0,1,NA,59,0,1,NA,128,NA,NA,NA,NA," CANELAS",75,0.5859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",52,"1",46,13,2,NA,1,2,NA,48,4,NA,NA,NA,NA,2,0,0,0,0,1,0,0,0,0,1,NA,59,0,1,NA,128,NA,NA,NA,NA," CANELAS",75,0.5859375,NA,59,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",53,"B1",0,69,16,NA,6,0,NA,57,5,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,NA,69,0,3,NA,244,NA,NA,NA,NA," CANELAS",157,0.64344262295082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",53,"1",0,69,16,NA,6,0,NA,57,5,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,NA,69,0,3,NA,244,NA,NA,NA,NA," CANELAS",157,0.64344262295082,NA,69,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",54,"B1",27,69,4,NA,0,1,NA,38,2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,42,0,1,NA,179,NA,NA,NA,NA," CANELAS",116,0.64804469273743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",54,"1",27,69,4,NA,0,1,NA,38,2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,42,0,1,NA,179,NA,NA,NA,NA," CANELAS",116,0.64804469273743,NA,69,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",55,"B1",57,34,21,NA,0,2,NA,73,13,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,2,NA,91,0,1,NA,297,NA,NA,NA,NA," CANELAS",147,0.494949494949495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",55,"1",57,34,21,NA,0,2,NA,73,13,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,2,NA,91,0,1,NA,297,NA,NA,NA,NA," CANELAS",147,0.494949494949495,NA,91,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",56,"B1",7,138,131,NA,0,0,NA,33,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,37,0,6,NA,422,NA,NA,NA,NA," CANELAS",312,0.739336492890995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 02",56,"1",7,138,131,NA,0,0,NA,33,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,37,0,6,NA,422,NA,NA,NA,NA," CANELAS",312,0.739336492890995,NA,138,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",57,"B1",3,48,67,86,4,15,NA,173,12,13,0,3,1,0,2,0,2,0,1,1,1,2,2,0,218,215,0,6,NA,660,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,439,0.665151515151515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",57,"1",3,48,67,86,4,15,NA,173,12,13,0,3,1,0,2,0,2,0,1,1,1,2,2,0,218,215,0,6,NA,660,NA,218,215,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,439,0.665151515151515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",58,"B1",60,5,20,49,1,0,NA,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,15,0,1,NA,155,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,91,0.587096774193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",58,"1",60,5,20,49,1,0,NA,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,15,0,1,NA,155,NA,75,15,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,91,0.587096774193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",59,"B1",57,5,15,60,1,2,NA,19,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82,25,0,3,NA,143,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,110,0.769230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",59,"1",57,5,15,60,1,2,NA,19,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82,25,0,3,NA,143,NA,82,25,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,110,0.769230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",60,"B1",19,4,64,19,2,19,NA,79,6,2,2,0,2,0,0,1,1,0,2,0,0,0,0,2,93,112,0,2,NA,350,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,207,0.591428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",60,"1",19,4,64,19,2,19,NA,79,6,2,2,0,2,0,0,1,1,0,2,0,0,0,0,2,93,112,0,2,NA,350,NA,112,93,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,207,0.591428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",61,"B1",25,18,9,26,3,3,NA,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,28,0,0,NA,134,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,81,0.604477611940298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",61,"1",25,18,9,26,3,NA,NA,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,28,0,0,NA,134,NA,53,28,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,81,0.604477611940298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",62,"B1",40,8,31,8,2,6,NA,74,5,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,50,90,0,0,NA,227,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,140,0.616740088105727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",62,"1",40,8,31,8,2,6,NA,74,5,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,50,90,0,0,NA,227,NA,90,50,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,140,0.616740088105727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",63,"B1",118,13,67,113,0,5,NA,78,4,11,0,1,5,0,1,0,1,2,0,0,0,1,0,0,210,92,0,5,NA,445,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,307,0.689887640449438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",63,"C1",123,7,67,128,2,3,NA,74,3,3,1,0,2,0,0,0,0,0,0,0,0,2,0,1,208,85,0,8,NA,445,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,301,0.676404494382022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",63,"E1",31,11,3,26,0,0,NA,11,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,43,12,0,0,NA,73,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,55,0.753424657534247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",63,"3",272,31,137,267,2,8,NA,163,7,14,4,1,7,0,1,0,1,2,0,0,0,4,0,1,461,189,0,13,NA,963,NA,461,189,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,663,0.688473520249221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",64,"B1",18,25,17,35,1,4,NA,89,1,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,80,98,0,4,NA,254,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,182,0.716535433070866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",64,"1",18,25,17,35,1,4,NA,89,1,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,80,98,0,4,NA,254,NA,98,80,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,182,0.716535433070866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",65,"B1",10,35,84,50,6,3,NA,142,9,6,0,1,4,2,0,2,0,0,1,0,0,1,1,3,180,170,0,4,NA,486,NA,NA,NA,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,354,0.728395061728395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 03",65,"1",10,35,84,50,6,3,NA,142,9,6,0,1,4,2,0,2,0,0,1,0,0,1,1,3,180,170,0,4,NA,486,NA,180,170,NA," CONETO DE COMONFORT",NA,NA,NA,NA,NA,354,0.728395061728395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",66,"B1",5,25,112,21,29,1,NA,122,2,5,1,0,0,2,0,0,0,0,0,0,0,1,0,2,164,159,0,14,NA,655,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,337,0.514503816793893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",66,"C1",36,34,88,14,35,4,NA,128,3,3,2,0,0,3,1,0,0,0,1,0,1,0,0,1,141,177,1,6,NA,655,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,325,0.49618320610687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",66,"C2",66,22,105,14,37,2,NA,164,4,3,3,0,0,1,1,1,0,0,1,0,1,0,0,1,147,213,1,1,NA,654,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,362,0.553516819571865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 04",66,"3",97,81,305,49,101,7,NA,414,9,11,6,0,0,6,2,1,0,0,2,0,2,1,0,4,452,549,2,21,NA,1964,NA,549,452,NA," CUENCAMÉ",NA,NA,NA,NA,NA,1024,0.521384928716904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",67,"B1",66,18,91,36,44,9,NA,146,7,5,1,0,1,3,1,1,1,2,4,0,0,0,0,0,152,218,0,12,NA,686,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,382,0.556851311953353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",67,"C1",90,21,85,39,51,7,NA,161,5,4,1,0,1,1,1,2,2,0,6,0,1,0,0,4,151,241,0,9,NA,686,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,401,0.584548104956268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 04",67,"2",156,39,176,75,95,16,NA,307,12,9,2,0,2,4,2,3,3,2,10,0,1,0,0,4,303,459,0,21,NA,1372,NA,459,303,NA," CUENCAMÉ",NA,NA,NA,NA,NA,783,0.570699708454811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",68,"B1",58,24,77,25,28,3,NA,148,3,5,2,0,0,2,0,1,0,1,3,0,0,1,0,1,133,191,0,7,NA,543,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,331,0.609576427255985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",68,"C1",53,12,89,21,29,4,NA,139,3,2,2,0,2,3,0,0,0,0,2,0,1,0,0,0,128,181,2,11,NA,543,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,322,0.593001841620626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 04",68,"2",111,36,166,46,57,7,NA,287,6,7,4,0,2,5,0,1,0,1,5,0,1,1,0,1,261,372,2,18,NA,1086,NA,372,261,NA," CUENCAMÉ",NA,NA,NA,NA,NA,653,0.601289134438306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",69,"B1",25,13,151,24,34,5,NA,168,8,7,0,0,1,1,0,1,0,0,3,0,0,0,1,0,196,221,0,14,NA,717,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,431,0.601115760111576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",69,"C1",26,22,140,20,31,0,NA,161,6,4,2,0,1,0,1,1,0,1,9,1,0,1,0,3,189,215,1,13,NA,716,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,418,0.583798882681564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",69,"C2",96,21,105,18,23,2,NA,202,7,4,1,0,1,4,1,0,0,0,5,0,1,1,0,0,150,246,1,1,NA,716,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,398,0.55586592178771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",69,"S1",18,3,8,1,5,0,NA,23,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,13,31,0,5,NA,0,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,49,0.0482283464566929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 04",69,"4",165,59,404,63,93,7,NA,554,22,15,3,0,4,5,3,2,0,2,17,1,1,2,1,3,548,713,2,33,NA,2149,NA,713,548,NA," CUENCAMÉ",NA,NA,NA,NA,NA,1296,0.603071195905072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",70,"B1",69,12,106,30,51,3,NA,151,9,2,0,0,2,1,0,0,0,0,2,2,1,0,0,1,152,221,0,5,NA,670,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,378,0.564179104477612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",70,"C1",2,22,117,36,25,0,NA,135,8,6,0,0,1,1,2,0,1,0,4,1,0,1,0,2,182,180,0,11,NA,669,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,373,0.557548579970105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 04",70,"2",67,34,223,66,76,3,NA,286,17,8,0,0,3,2,2,0,1,0,6,3,1,1,0,3,334,401,0,16,NA,1339,NA,401,334,NA," CUENCAMÉ",NA,NA,NA,NA,NA,751,0.560866318147872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",72,"B1",12,24,62,2,7,0,NA,85,2,1,0,0,0,1,0,0,1,1,2,0,0,1,0,1,89,101,0,8,NA,468,NA,NA,NA,NA," CUENCAMÉ",NA,NA,NA,NA,NA,198,0.423076923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
