CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,602,2,154,138,15,17,5,246,22,23,21,44,6,,0,691,14,705,1192
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,603,2,88,91,9,8,9,188,16,13,6,30,3,,0,461,24,485,857
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,604,1,74,93,10,8,14,138,21,15,7,8,0,,1,388,10,399,681
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,605,2,78,83,13,5,9,187,10,22,15,11,2,,0,435,12,447,844
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,606,1,54,100,7,13,6,153,10,14,16,14,2,,0,389,0,389,742
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,607,1,71,76,13,10,5,149,18,7,8,11,3,,0,371,17,388,672
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,608,1,61,96,12,9,8,155,12,33,12,13,6,,0,417,13,430,770
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,609,2,104,143,9,24,9,205,21,17,8,23,7,,0,570,31,601,1107
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,610,1,44,84,7,11,10,121,19,17,7,17,2,,0,339,1,340,667
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,611,2,81,93,14,14,7,159,12,19,5,20,1,,0,425,13,438,915
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,612,2,50,86,6,13,5,175,15,25,4,10,3,,0,392,17,409,895
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,613,2,61,134,7,4,14,188,14,11,7,10,1,,0,451,15,466,895
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,614,2,76,146,11,16,4,178,17,17,9,13,4,,1,491,22,514,973
